iso3,need_pct,research_pct,gap,lisa_cat_gap9
RWA,92.02127659574468,77.43589743589745,-14.585379159847236,Not significant
LCA,41.48936170212766,19.48717948717949,-22.00218221494817,Not significant
VCT,31.382978723404253,19.48717948717949,-11.895799236224764,Not significant
WSM,28.723404255319153,19.48717948717949,-9.236224768139664,Not significant
STP,76.59574468085107,19.48717948717949,-57.10856519367158,Not significant
SAU,31.91489361702128,64.87179487179488,32.9569012547736,Not significant
SEN,63.82978723404256,84.1025641025641,20.272776868521547,High-Low
SRB,20.744680851063833,76.92307692307693,56.1783960720131,Not significant
SYC,3.1914893617021285,19.48717948717949,16.29569012547736,Not significant
SLE,92.5531914893617,64.87179487179488,-27.68139661756682,Not significant
SVK,17.5531914893617,39.48717948717949,21.933987997817788,High-High
SVN,25.0,39.48717948717949,14.487179487179487,High-High
SLB,84.57446808510637,19.48717948717949,-65.08728859792689,Low-Low
SOM,96.27659574468083,40.76923076923077,-55.50736497545008,Not significant
ZAF,43.08510638297872,80.0,36.91489361702128,Not significant
SSD,96.80851063829788,58.46153846153847,-38.34697217675941,Not significant
ESP,29.255319148936167,92.82051282051282,63.56519367157665,High-High
LKA,40.95744680851064,85.38461538461539,44.42716857610475,Not significant
SDN,85.63829787234043,19.48717948717949,-66.15111838516094,Low-Low
SUR,49.46808510638298,19.48717948717949,-29.98090561920349,Not significant
SWE,9.574468085106387,78.71794871794872,69.14348063284233,High-High
CHE,15.425531914893618,54.87179487179488,39.44626295690126,High-High
SYR,97.3404255319149,40.76923076923077,-56.57119476268414,Not significant
TJK,77.12765957446808,19.48717948717949,-57.640480087288594,Not significant
THA,39.8936170212766,91.28205128205128,51.38843426077469,Not significant
TLS,91.48936170212764,19.48717948717949,-72.00218221494816,Not significant
TGO,78.72340425531915,19.48717948717949,-59.236224768139664,Not significant
TON,53.72340425531915,19.48717948717949,-34.236224768139664,Not significant
TTO,45.744680851063826,19.48717948717949,-26.257501363884337,Not significant
TUN,52.12765957446809,70.51282051282051,18.38516093835242,Not significant
TKM,60.1063829787234,19.48717948717949,-40.619203491543914,Not significant
TUR,46.27659574468085,84.1025641025641,37.825968357883255,Not significant
UGA,90.95744680851064,71.7948717948718,-19.162575013638843,Not significant
UKR,68.08510638297872,93.33333333333331,25.248226950354606,Not significant
ARE,27.127659574468083,19.48717948717949,-7.640480087288594,Not significant
GBR,0.5319148936170279,88.71794871794872,88.18603382433169,High-High
TZA,89.36170212765957,82.05128205128204,-7.310420076377525,Not significant
USA,1.0638297872340416,100.0,98.93617021276596,Not significant
URY,23.93617021276596,69.74358974358974,45.80741953082378,Not significant
UZB,56.38297872340425,73.58974358974359,17.20676486633934,Not significant
VUT,58.51063829787234,19.48717948717949,-39.02345881069285,Not significant
VEN,44.680851063829785,42.30769230769231,-2.373158756137478,Not significant
VNM,38.82978723404255,92.3076923076923,53.47790507364976,Not significant
YEM,98.93617021276596,19.48717948717949,-79.44899072558647,Not significant
ZMB,83.51063829787235,67.6923076923077,-15.818330605564654,Not significant
ZWE,87.7659574468085,68.71794871794872,-19.048008728859784,Not significant
