iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
RUS,39.574863823568485,-0.1502801967828569,0.3581,Not significant,Not significant,False,Europe & Central Asia,High income,12.059523809523808,0.4145077720207253,Not significant
RWA,-12.724857180815718,0.3629431282257725,0.0036,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,9.25,0.9067357512953368,Low-Low
KNA,14.311146539125817,0.0268655441905361,0.4321,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.0466321243523316,Not significant
LCA,-4.859837916832735,-0.0111939767460567,0.4274,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.238341968911917,Not significant
VCT,0.8396439484522382,-0.0008706426358044,0.4305,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.1813471502590673,Not significant
WSM,4.466586953633588,0.0130755853728867,0.3892,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,0.0,0.1450777202072538,Not significant
STP,-46.310615118905275,1.0587492826456255,0.0157,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,0.0,0.6528497409326425,Not significant
SAU,36.89252026039591,-0.4137694432201527,0.1457,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,3.0,0.2797927461139896,Not significant
SEN,15.190647004118505,-0.3574074977935115,0.0123,Not significant,High-Low,False,Sub-Saharan Africa ,Lower middle income,14.0,0.689119170984456,Not significant
SRB,38.58110801115984,0.4224538637114634,0.1506,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,8.59090909090909,0.3834196891191709,Not significant
SYC,16.383685399229442,-0.2271330435327892,0.0917,Not significant,Not significant,False,Sub-Saharan Africa ,High income,0.0,0.0259067357512953,Not significant
SLE,-25.28364554271289,0.6306566207840465,0.0101,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,3.0,0.9015544041450776,Not significant
SGP,17.93808954430716,0.3202936393349804,0.0446,Not significant,High-High,False,East Asia & Pacific,High income,0.0,0.0103626943005181,Not significant
SVK,11.518533280191315,0.3419023247369527,0.0019,High-High,High-High,False,Europe & Central Asia,High income,0.0909090909090909,0.2694300518134715,High-High
SVN,19.29055400557992,0.5862067486964556,0.0017,High-High,High-High,False,Europe & Central Asia,High income,0.0909090909090909,0.1917098445595854,High-High
SLB,-54.082635844293875,0.8488765699093013,0.0686,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,0.0,0.7305699481865285,Not significant
SOM,-48.85744652584031,0.7846161995887371,0.0644,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,0.25,0.8860103626943006,Not significant
