iso3,gap,research_pct,need_pct,lisa_cat_gap9
SDN,-66.15111838516094,19.48717948717949,85.63829787234043,Low-Low
SUR,-29.98090561920349,19.48717948717949,49.46808510638298,Not significant
SWE,69.14348063284233,78.71794871794872,9.574468085106389,High-High
CHE,39.44626295690126,54.871794871794876,15.425531914893618,High-High
SYR,-56.57119476268414,40.76923076923077,97.3404255319149,Not significant
TJK,-57.640480087288594,19.48717948717949,77.12765957446808,Not significant
THA,51.38843426077469,91.28205128205128,39.8936170212766,Not significant
TLS,-72.00218221494816,19.48717948717949,91.48936170212765,Not significant
TGO,-59.236224768139664,19.48717948717949,78.72340425531915,Not significant
TON,-34.236224768139664,19.48717948717949,53.72340425531915,Not significant
TTO,-26.257501363884337,19.48717948717949,45.744680851063826,Not significant
TUN,18.38516093835242,70.51282051282051,52.12765957446809,Not significant
TKM,-40.619203491543914,19.48717948717949,60.1063829787234,Not significant
TUR,37.825968357883255,84.1025641025641,46.27659574468085,Not significant
UGA,-19.162575013638843,71.7948717948718,90.95744680851064,Not significant
UKR,25.248226950354606,93.33333333333333,68.08510638297872,Not significant
ARE,-7.640480087288594,19.48717948717949,27.127659574468083,Not significant
GBR,88.18603382433169,88.71794871794872,0.5319148936170279,High-High
TZA,-7.310420076377525,82.05128205128204,89.36170212765957,Not significant
USA,98.93617021276596,100.0,1.0638297872340416,Not significant
URY,45.80741953082378,69.74358974358974,23.93617021276596,Not significant
UZB,17.20676486633934,73.58974358974359,56.38297872340425,Not significant
VUT,-39.02345881069285,19.48717948717949,58.51063829787234,Not significant
VEN,-2.373158756137478,42.30769230769231,44.680851063829785,Not significant
VNM,53.47790507364976,92.3076923076923,38.82978723404255,Not significant
YEM,-79.44899072558647,19.48717948717949,98.93617021276596,Not significant
ZMB,-15.818330605564654,67.6923076923077,83.51063829787235,Not significant
ZWE,-19.048008728859784,68.71794871794872,87.7659574468085,Not significant
